gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
CD58,-0.662323064814012,0.0767003516834558,0.608984814130257,-0.725236185250205,0.0853839321236776,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RCCD1,0.661181404971437,0.0747295786530484,0.608984814130257,0.815023811560833,0.070914778438117,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
C1orf131,-0.659766919204489,0.0740313734282053,0.608984814130257,-0.589316140817815,0.152533053974199,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CDC42EP3,0.622449951981498,0.0738254827009889,0.608984814130257,0.671947850954625,0.102076764881734,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
LYRM1,0.618634831613397,0.0776298554497242,0.608984814130257,0.718674352925615,0.0782377034112959,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RCBTB1,0.607304882520563,0.0763383454641511,0.608984814130257,0.522907149334526,0.176581122661515,0.873334574878434,FALSE,FALSE,FALSE,secondary,HSC_MPP
IMPAD1,0.605170007522911,0.0737109208697504,0.608984814130257,0.607056491421152,0.123593238613947,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
YAF2,0.600757652035777,0.0761850086439036,0.608984814130257,0.434645269458193,0.220690431187262,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
BCL11A,-0.599010216610167,0.0731170706914025,0.608984814130257,-0.69748666961832,0.066412891488009,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
KATNB1,0.593796056053136,0.0748518176235098,0.608984814130257,0.653007747374091,0.100522682503584,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
AMPD2,0.589603718307437,0.0768378825437786,0.608984814130257,0.394658113522,0.244035951189621,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
CCDC14,-0.5830045232735,0.0758757085696974,0.608984814130257,-0.597025397870076,0.112708244496829,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
UTP20,-0.576173519631457,0.0767071939107933,0.608984814130257,-0.540730005217125,0.14290246277641,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MOCS2,-0.572667346439625,0.0738952500614619,0.608984814130257,-0.470155734891648,0.184613531010586,0.876297394611156,FALSE,FALSE,FALSE,secondary,HSC_MPP
CSNK1G2,-0.544392997727222,0.0752646679214453,0.608984814130257,-0.539090508070543,0.128060169775605,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
STXBP2,0.541835351208922,0.0727026388550328,0.608984814130257,0.701366929885831,0.0470619104866568,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CHD2,0.534181226817574,0.0764268912114386,0.608984814130257,0.382584384492673,0.225939611652279,0.888492256632612,FALSE,FALSE,FALSE,secondary,HSC_MPP
ITFG1,0.531866244911837,0.0744030494730012,0.608984814130257,0.504443352749487,0.140319429664962,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PIH1D1,-0.528524911171452,0.0751310153568966,0.608984814130257,-0.381116566818784,0.228957213976594,0.890502208580691,FALSE,FALSE,FALSE,secondary,HSC_MPP
APTX,0.513268124684637,0.0735924566122892,0.608984814130257,0.499126584368453,0.137322910740409,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
ASAH1,0.509929893126181,0.0770168498325725,0.608984814130257,0.682533213582783,0.0379991986858874,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
IGF2BP2,0.492971073218235,0.0770528911827984,0.608984814130257,0.311927494119926,0.259530617634704,0.896782789555678,FALSE,FALSE,FALSE,secondary,HSC_MPP
CCNI,0.489162401193713,0.0775321308523563,0.608984814130257,0.627912180340746,0.0496468137378064,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
TRIM24,-0.48598297729006,0.0762969879242288,0.608984814130257,-0.456093076338958,0.148910362672229,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
DNTTIP1,-0.484692341178312,0.0739945774914021,0.608984814130257,-0.342513897635021,0.233772631610783,0.89213520119051,FALSE,FALSE,FALSE,secondary,HSC_MPP
PLAGL1,-0.484312442853064,0.0754693916313053,0.608984814130257,-0.534200297804369,0.0855927271787712,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
OXA1L,0.478952312247984,0.0739127318596553,0.608984814130257,0.594798222318106,0.0626840089292277,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RAB14,0.476291834078419,0.0752952110846371,0.608984814130257,0.444869275991028,0.147692684303208,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
OTUD6B-AS1,0.463510396053175,0.0757682761688971,0.608984814130257,0.335433850351152,0.212732438450761,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
KCMF1,0.463104610046235,0.0775839536824324,0.608984814130257,0.519561622169803,0.0948196130413341,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
BLOC1S2,0.462030965247878,0.0776573716490547,0.608984814130257,0.408080675694109,0.164242132336815,0.862426428114151,FALSE,FALSE,FALSE,secondary,HSC_MPP
ZFAND3,0.453715253425402,0.0763589107687376,0.608984814130257,0.5149529068053,0.0904504242136738,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MSN,0.453457466276792,0.0755388928270345,0.608984814130257,0.52777045025598,0.0758497289588104,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
AHCY,-0.440396339450659,0.0756925008123461,0.608984814130257,-0.473451665563701,0.0955999940119316,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CSNK1A1,0.401890893572225,0.0777386905543721,0.608984814130257,0.409440710870589,0.122734212007908,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
RPS18,-0.326101776607443,0.0772392054939933,0.608984814130257,-0.293265784498001,0.131723867316178,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
CDS2,0.797914150922532,0.0783192715057797,0.609600999867459,0.688394574317178,0.177332430546271,0.874639615067201,FALSE,FALSE,FALSE,secondary,HSC_MPP
ATE1,-0.683215687101984,0.078329757693692,0.609600999867459,-0.700000930870292,0.110917691085288,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
UBAC1,-0.487208145148058,0.0782512255274981,0.609600999867459,-0.486613271141279,0.119762375061091,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PLK1,-2.51811332037071,0.0801528658322225,0.609671945995299,-2.54787239014265,0.107896150689215,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
