arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
mask,1.0,Dx_to_Relapse,3,0.5,11,0.9696969696969696,-0.0079013832532865,0.7251327883704045,0.3203125,0.7251327883704045
mask,1.0,Dx_to_Treatment,3,1.0,11,1.0,-0.006974099057316672,0.5717268186573422,0.51953125,0.2858634093286711
mask,1.0,Dx_to_Relapse,3,1.0,11,0.9696969696969696,-0.01961900906468955,0.20496611696005718,0.240234375,0.20496611696005718
mask,1.0,Dx_to_Treatment,3,2.0,11,1.0,-0.007479815404094654,0.5465132433324953,0.46484375,0.27325662166624765
mask,1.0,Dx_to_Relapse,3,2.0,11,0.9696969696969696,-0.020345806861417143,0.1893645046335787,0.240234375,0.1893645046335787
mask,1.0,Dx_to_Treatment,3,4.0,11,1.0,-0.007056432227134044,0.5680540742619081,0.46484375,0.28402703713095406
mask,1.0,Dx_to_Relapse,3,4.0,11,0.9696969696969696,-0.019580224559214616,0.20855455468334247,0.2783203125,0.20855455468334247
mask,1.0,Dx_to_Treatment,6,0.0,11,0.0,-0.0028774141481181384,0.8201204755360273,0.7001953125,0.41006023776801365
mask,1.0,Dx_to_Relapse,6,0.0,11,0.0,-0.0007068529410236694,0.9745527763452096,0.5771484375,0.9745527763452096
mask,1.0,Dx_to_Treatment,6,0.25,11,0.9848484848484849,-0.009473473579841568,0.4656003144966847,0.365234375,0.23280015724834235
mask,1.0,Dx_to_Relapse,6,0.25,11,0.9848484848484849,-0.003615119268047684,0.8634379226092164,0.4130859375,0.8634379226092164
mask,1.0,Dx_to_Treatment,6,0.5,11,0.9848484848484849,-0.006798259778632828,0.6328699569770312,0.46484375,0.3164349784885156
mask,1.0,Dx_to_Relapse,6,0.5,11,0.9848484848484849,-0.006770969235137399,0.765118694763271,0.365234375,0.765118694763271
mask,1.0,Dx_to_Treatment,6,1.0,11,1.0,-0.0025431185286553075,0.8345589342595552,0.5771484375,0.4172794671297776
mask,1.0,Dx_to_Relapse,6,1.0,11,0.9848484848484849,-0.02234495119132085,0.12171556114847282,0.1474609375,0.12171556114847282
mask,1.0,Dx_to_Treatment,6,2.0,11,1.0,-0.004417632365183833,0.7177325233754089,0.51953125,0.35886626168770447
mask,1.0,Dx_to_Relapse,6,2.0,11,0.9848484848484849,-0.022767789574578055,0.11540104036390594,0.1474609375,0.11540104036390594
mask,1.0,Dx_to_Treatment,6,4.0,11,1.0,-0.003930414658027429,0.7451608907928396,0.46484375,0.3725804453964198
mask,1.0,Dx_to_Relapse,6,4.0,11,0.9848484848484849,-0.022920938883141534,0.11288950427511218,0.1474609375,0.11288950427511218
const,0.5,Dx_to_Treatment,1,0.0,11,0.0,-0.07666165188375126,0.05857503794007497,0.3203125,0.029287518970037486
const,0.5,Dx_to_Relapse,1,0.0,11,0.0,-0.008566016280526874,0.8135374403577965,0.7646484375,0.8135374403577965
const,0.5,Dx_to_Treatment,1,0.25,11,1.0,-0.07664716047374573,0.05839543096705067,0.3203125,0.029197715483525333
const,0.5,Dx_to_Relapse,1,0.25,11,1.0,-0.008416218913997471,0.8167925058061322,0.7646484375,0.8167925058061322
const,0.5,Dx_to_Treatment,1,0.5,11,1.0,-0.07657607332318994,0.05873589172518313,0.3203125,0.029367945862591564
const,0.5,Dx_to_Relapse,1,0.5,11,1.0,-0.00831246636801234,0.8189190312587322,0.7646484375,0.8189190312587322
const,0.5,Dx_to_Treatment,1,1.0,11,1.0,-0.07647649517183708,0.05930666590395633,0.3203125,0.029653332951978164
const,0.5,Dx_to_Relapse,1,1.0,11,1.0,-0.00795543376103031,0.8261111642060788,0.7646484375,0.8261111642060788
const,0.5,Dx_to_Treatment,1,2.0,11,1.0,-0.0773873261675166,0.05759592177065203,0.3203125,0.028797960885326015
const,0.5,Dx_to_Relapse,1,2.0,11,1.0,-0.008862134923930589,0.8059303862501651,0.7646484375,0.8059303862501651
const,0.5,Dx_to_Treatment,1,4.0,11,1.0,-0.07780285645042022,0.056083988125169265,0.2783203125,0.028041994062584633
const,0.5,Dx_to_Relapse,1,4.0,11,1.0,-0.009593239606290094,0.7897113590383014,0.7646484375,0.7897113590383014
const,0.5,Dx_to_Treatment,3,0.0,11,0.0,-0.07666165188375126,0.05857503794007497,0.3203125,0.029287518970037486
const,0.5,Dx_to_Relapse,3,0.0,11,0.0,-0.008566016280526874,0.8135374403577965,0.7646484375,0.8135374403577965
const,0.5,Dx_to_Treatment,3,0.25,11,1.0,-0.07675484543728107,0.05851665419170315,0.3203125,0.029258327095851574
const,0.5,Dx_to_Relapse,3,0.25,11,0.9393939393939393,-0.008210949500428614,0.8212284365788473,0.7646484375,0.8212284365788473
const,0.5,Dx_to_Treatment,3,0.5,11,1.0,-0.07664510810068387,0.05899851937971777,0.3203125,0.029499259689858885
const,0.5,Dx_to_Relapse,3,0.5,11,0.9393939393939393,-0.007987758535457143,0.825882061121858,0.7646484375,0.825882061121858
const,0.5,Dx_to_Treatment,3,1.0,11,1.0,-0.07607023042822358,0.06055190544394324,0.3203125,0.03027595272197162
const,0.5,Dx_to_Relapse,3,1.0,11,0.9393939393939393,-0.007435772944997348,0.8370544248222398,0.7646484375,0.8370544248222398
const,0.5,Dx_to_Treatment,3,2.0,11,1.0,-0.07791212696542345,0.05737196458682416,0.2783203125,0.02868598229341208
const,0.5,Dx_to_Relapse,3,2.0,11,0.9393939393939393,-0.009091000448569059,0.7999761188047952,0.7646484375,0.7999761188047952
const,0.5,Dx_to_Treatment,3,4.0,11,1.0,-0.07914227360638827,0.05447666472632403,0.2783203125,0.027238332363162015
const,0.5,Dx_to_Relapse,3,4.0,11,0.9393939393939393,-0.009989187734669919,0.7809816124177063,0.7001953125,0.7809816124177063
const,0.5,Dx_to_Treatment,6,0.0,11,0.0,-0.07666165188375126,0.05857503794007497,0.3203125,0.029287518970037486
const,0.5,Dx_to_Relapse,6,0.0,11,0.0,-0.008566016280526874,0.8135374403577965,0.7646484375,0.8135374403577965
