arm,kind,edge,occupancy,median_within_pair_abs_dC,mean_within_pair_abs_dC,sd_between_patients_at_dx,snr
const,Dx_to_Treatment,LMPP_GMP->HSC_MPP,0.8108108108108109,0.1428571428571428,0.32653061224489793,0.26755150864128874,0.5339425801880789
const,Dx_to_Treatment,LMPP_GMP->LMPP_GMP,0.9459459459459459,0.061224489795918435,0.10018552875695731,0.27914526311954124,0.21932842102249697
const,Dx_to_Treatment,LMPP_GMP->Mono_DC,0.972972972972973,0.04081632653061229,0.08905380333951764,0.10050796735218762,0.4061004078173102
const,Dx_to_Treatment,LMPP_GMP->Erythroid,0.6486486486486487,0.346938775510204,0.36641929499072357,0.2978473371291107,1.1648208067068035
const,Dx_to_Treatment,LMPP_GMP->Megakaryocyte,0.08108108108108109,0.0,0.11131725417439703,0.0,
const,Dx_to_Treatment,LMPP_GMP->T_NK,0.918918918918919,0.04081632653061218,0.0909090909090909,0.2674665851322009,0.1526034607666519
const,Dx_to_Treatment,LMPP_GMP->B_Plasma,0.7567567567567568,0.20408163265306123,0.3228200371057514,0.35583912583187843,0.573522184149819
const,Dx_to_Treatment,Mono_DC->HSC_MPP,0.7567567567567568,0.04081632653061229,0.1966604823747681,0.3103236758037334,0.13152823878132616
const,Dx_to_Treatment,Mono_DC->LMPP_GMP,0.9459459459459459,0.16326530612244905,0.21150278293135436,0.07822188107191903,2.0872076187012056
const,Dx_to_Treatment,Mono_DC->Mono_DC,0.9459459459459459,0.1428571428571429,0.24675324675324675,0.2765424214800385,0.5165831053788421
const,Dx_to_Treatment,Mono_DC->Erythroid,0.5675675675675675,0.12244897959183665,0.17439703153988867,0.27789458164598557,0.44063104385326374
const,Dx_to_Treatment,Mono_DC->Megakaryocyte,0.08108108108108109,0.0,0.10760667903525047,0.0,
const,Dx_to_Treatment,Mono_DC->T_NK,0.8648648648648649,0.18367346938775508,0.22448979591836735,0.36931035792646427,0.4973417762204424
const,Dx_to_Treatment,Mono_DC->B_Plasma,0.6756756756756757,0.4693877551020408,0.4749536178107606,0.38842828001974106,1.2084283746749467
const,Dx_to_Treatment,Erythroid->HSC_MPP,0.5405405405405406,0.6122448979591837,0.424860853432282,0.37992285126430797,1.6114979552342112
const,Dx_to_Treatment,Erythroid->LMPP_GMP,0.6486486486486487,0.7346938775510204,0.5705009276437848,0.40938592385697414,1.7946241791344495
const,Dx_to_Treatment,Erythroid->Mono_DC,0.6486486486486487,0.20408163265306123,0.39332096474953615,0.43915718826830563,0.4647120395724375
const,Dx_to_Treatment,Erythroid->Erythroid,0.43243243243243246,0.1428571428571428,0.20037105751391468,0.23772743036910918,0.600928309515375
const,Dx_to_Treatment,Erythroid->Megakaryocyte,0.05405405405405406,0.0,0.0463821892393321,0.0,
const,Dx_to_Treatment,Erythroid->T_NK,0.5405405405405406,0.326530612244898,0.41187384044526903,0.4048286792126784,0.806589624233005
const,Dx_to_Treatment,Erythroid->B_Plasma,0.5675675675675675,0.18367346938775508,0.3395176252319109,0.4418561226663129,0.41568614751653943
const,Dx_to_Treatment,Megakaryocyte->HSC_MPP,0.05405405405405406,0.0,0.029684601113172535,0.0,
const,Dx_to_Treatment,Megakaryocyte->LMPP_GMP,0.08108108108108109,0.0,0.10018552875695734,0.0,
const,Dx_to_Treatment,Megakaryocyte->Mono_DC,0.08108108108108109,0.0,0.13914656771799627,0.0,
const,Dx_to_Treatment,Megakaryocyte->Erythroid,0.08108108108108109,0.0,0.09090909090909091,0.0,
const,Dx_to_Treatment,Megakaryocyte->Megakaryocyte,0.08108108108108109,0.0,0.15955473098330242,0.0,
const,Dx_to_Treatment,Megakaryocyte->T_NK,0.05405405405405406,0.0,0.08534322820037106,0.0,
const,Dx_to_Treatment,Megakaryocyte->B_Plasma,0.05405405405405406,0.0,0.05936920222634508,0.0,
const,Dx_to_Treatment,T_NK->HSC_MPP,0.7567567567567568,0.061224489795918435,0.17810760667903527,0.2744258189748657,0.22310032643658034
const,Dx_to_Treatment,T_NK->LMPP_GMP,0.8378378378378378,0.1020408163265305,0.13172541743970315,0.2678767993494393,0.3809244271035975
const,Dx_to_Treatment,T_NK->Mono_DC,0.918918918918919,0.30612244897959184,0.3580705009276438,0.29744026788669503,1.0291896626996186
const,Dx_to_Treatment,T_NK->Erythroid,0.43243243243243246,0.12244897959183676,0.20593692022263452,0.1974622226410361,0.6201134472918148
const,Dx_to_Treatment,T_NK->Megakaryocyte,0.08108108108108109,0.0,0.08719851576994433,0.0,
const,Dx_to_Treatment,T_NK->T_NK,0.7297297297297297,0.08163265306122447,0.24118738404452691,0.4340841665480585,0.1880572003129875
const,Dx_to_Treatment,T_NK->B_Plasma,0.5945945945945946,0.1836734693877552,0.313543599257885,0.3635966053006613,0.5051572724004779
const,Dx_to_Treatment,B_Plasma->HSC_MPP,0.43243243243243246,0.020408163265306145,0.18923933209647495,0.2777037667653255,0.07348896812966939
