dataset,sample,node,status,masked_by,abundance_unreliable,n_cells
GSE116256,AML997-D35,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,AML997-D35,T_NK,present,,FALSE,
GSE116256,BM1,B_Plasma,present,,FALSE,
GSE116256,BM1,Erythroid,present,,FALSE,
GSE116256,BM1,HSC_MPP,present,,FALSE,
GSE116256,BM1,LMPP_GMP,present,,FALSE,
GSE116256,BM1,Megakaryocyte,present,,FALSE,
GSE116256,BM1,Mono_DC,present,,FALSE,
GSE116256,BM1,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,BM1,T_NK,present,,FALSE,
GSE116256,BM2,B_Plasma,present,,FALSE,
GSE116256,BM2,Erythroid,present,,FALSE,
GSE116256,BM2,HSC_MPP,present,,FALSE,
GSE116256,BM2,LMPP_GMP,present,,FALSE,
GSE116256,BM2,Megakaryocyte,present,,FALSE,
GSE116256,BM2,Mono_DC,present,,FALSE,
GSE116256,BM2,Stromal,NA_technical,STROMAL_NO_EVIDENCE,FALSE,
GSE116256,BM2,T_NK,present,,FALSE,
GSE116256,BM3,B_Plasma,present,,FALSE,
