dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613797_2020-08-07-MDS-AML_cDNA2.rds,Healthy,GSE185381:Control4003,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,988,TRUE
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613796_2020-08-07-MDS-AML_cDNA1.rds,Healthy,GSE185381:Control4003a,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,1292,TRUE
GSE185381,GSM5613774_2020-08-26-Control4003-c1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613774_2020-08-26-Control4003-c1.rds,Healthy,GSE185381:Control4003a,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,942,FALSE
GSE185381,GSM5613775_2020-08-26-Control4003-c2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613775_2020-08-26-Control4003-c2.rds,Healthy,GSE185381:Control4003b,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,2078,TRUE
GSE185381,GSM5613776_2020-08-26-Control4003-c3,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613776_2020-08-26-Control4003-c3.rds,Healthy,GSE185381:Control4003c,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,1844,TRUE
GSE185381,GSM5613752_2019-08-29-count-2,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613752_2019-08-29-count-2.rds,Healthy,GSE185381:Control5,Lasry 2023 Nat Cancer,FALSE,Healthy,FALSE,TRUE,core,TRUE,4449,TRUE
GSE185381,GSM5613751_2019-08-29-count-1,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE185381/GSM5613751_2019-08-29-count-1.rds,Unknown,GSE185381:Control5_AML2910_AML3050_AML0361a,Lasry 2023 Nat Cancer,FALSE,Unknown,FALSE,TRUE,core,FALSE,4448,
GSE253355,GSM8019212_H14_MACS,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019212_H14_MACS.rds,Healthy,GSE253355:H14_MACS,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019213_H21,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019213_H21.rds,Healthy,GSE253355:H21,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019214_H23,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019214_H23.rds,Healthy,GSE253355:H23,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
