feature,median_p,min_p,frac_p05,frac_p01,n_draws_evaluable,kind,design,mut_def,n_mut_units,n_wt_candidates
CXCL2,0.21875,0.015625,0.14,0,500,gene,B_patient_strict,strict,6,75
CXCL8,0.34375,0.03125,0.066,0,500,gene,B_patient_strict,strict,6,75
CYR61,,Inf,,,0,gene,B_patient_strict,strict,6,75
DCN,0.421875,0.03125,0.02,0,500,gene,B_patient_strict,strict,6,75
ELN,0.28125,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
EMCN,0.21875,0.046875,0.066,0,500,gene,B_patient_strict,strict,6,75
EPAS1,0.21875,0.015625,0.19,0,500,gene,B_patient_strict,strict,6,75
FAP,0.59375,0.03125,0.04,0,500,gene,B_patient_strict,strict,6,75
FBN1,0.078125,0.015625,0.442,0,500,gene,B_patient_strict,strict,6,75
FCN1,0.421875,0.015625,0.066,0,500,gene,B_patient_strict,strict,6,75
FGF2,0.71875,0.5,0,0,500,gene,B_patient_strict,strict,6,75
FN1,0.28125,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
GATA1,0.5859375,0.03125,0.012,0,500,gene,B_patient_strict,strict,6,75
GP9,0.15625,0.015625,0.278,0,500,gene,B_patient_strict,strict,6,75
GREM1,0.5,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
HGF,0.71875,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
HIF1A,0.34375,0.015625,0.078,0,500,gene,B_patient_strict,strict,6,75
IFNG,0.421875,0.03125,0.07,0,500,gene,B_patient_strict,strict,6,75
IGF1,0.84375,0.21875,0,0,500,gene,B_patient_strict,strict,6,75
IGF2,0.890625,0.3125,0,0,500,gene,B_patient_strict,strict,6,75
IL10,0.109375,0.015625,0.23,0,500,gene,B_patient_strict,strict,6,75
IL11,0.28125,0.015625,0.108,0,500,gene,B_patient_strict,strict,6,75
IL18,0.578125,0.046875,0.002,0,500,gene,B_patient_strict,strict,6,75
IL1B,0.046875,0.015625,0.58,0,500,gene,B_patient_strict,strict,6,75
IL6,0.09375,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
ITGA2B,0.578125,0.015625,0.026,0,500,gene,B_patient_strict,strict,6,75
JAK2,0.84375,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
KITLG,0.65625,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
LDHA,0.5,0.015625,0.046,0,500,gene,B_patient_strict,strict,6,75
LEPR,0.953125,0.421875,0,0,500,gene,B_patient_strict,strict,6,75
LOX,0.28125,0.046875,0.054,0,500,gene,B_patient_strict,strict,6,75
LOXL1,0.21875,0.015625,0.18,0,500,gene,B_patient_strict,strict,6,75
LOXL2,0.28125,0.03125,0.044,0,500,gene,B_patient_strict,strict,6,75
LTBP1,0.84375,0.109375,0,0,500,gene,B_patient_strict,strict,6,75
LTBP2,0.5,0.015625,0.022,0,500,gene,B_patient_strict,strict,6,75
LUM,0.65625,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
LYVE1,0.21875,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
MAF,0.421875,0.015625,0.076,0,500,gene,B_patient_strict,strict,6,75
MGP,0.21875,0.015625,0.126,0,500,gene,B_patient_strict,strict,6,75
MMP14,0.15625,0.03125,0.204,0,500,gene,B_patient_strict,strict,6,75
MMP2,0.84375,0.03125,0.022,0,500,gene,B_patient_strict,strict,6,75
MMP9,0.125,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
MPL,0.28125,0.015625,0.038,0,500,gene,B_patient_strict,strict,6,75
MRC1,0.34375,0.015625,0.112,0,500,gene,B_patient_strict,strict,6,75
MYH11,0.578125,0.015625,0.01,0,500,gene,B_patient_strict,strict,6,75
NDRG1,0.5,0.046875,0.008,0,500,gene,B_patient_strict,strict,6,75
NECTIN1,0.78125,0.046875,0.002,0,500,gene,B_patient_strict,strict,6,75
NECTIN2,0.65625,0.015625,0.008,0,500,gene,B_patient_strict,strict,6,75
NECTIN3,0.578125,0.109375,0,0,500,gene,B_patient_strict,strict,6,75
NECTIN4,0.21875,0.03125,0.09,0,500,gene,B_patient_strict,strict,6,75
NES,0.6875,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
NFE2,0.8125,0.21875,0,0,500,gene,B_patient_strict,strict,6,75
NGFR,0.109375,0.03125,0.25,0,500,gene,B_patient_strict,strict,6,75
NLRP3,0.28125,0.015625,0.064,0,500,gene,B_patient_strict,strict,6,75
OGN,0.78125,0.21875,0,0,500,gene,B_patient_strict,strict,6,75
OSM,0.109375,0.015625,0.214,0,500,gene,B_patient_strict,strict,6,75
OSMR,0.5,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
PDGFA,0.578125,0.03125,0.002,0,500,gene,B_patient_strict,strict,6,75
PDGFB,0.28125,0.03125,0.07,0,500,gene,B_patient_strict,strict,6,75
PDGFRA,0.40625,0.125,0,0,500,gene,B_patient_strict,strict,6,75
PDGFRB,0.15625,0.03125,0.128,0,500,gene,B_patient_strict,strict,6,75
PECAM1,0.578125,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
PF4,0.578125,0.03125,0.016,0,500,gene,B_patient_strict,strict,6,75
PGK1,0.15625,0.015625,0.258,0,500,gene,B_patient_strict,strict,6,75
PLAC8,0.578125,0.015625,0.008,0,500,gene,B_patient_strict,strict,6,75
PLOD1,0.75,0.03125,0.016,0,500,gene,B_patient_strict,strict,6,75
PLOD2,0.5,0.03125,0.004,0,500,gene,B_patient_strict,strict,6,75
POSTN,0.875,0.8125,0,0,57,gene,B_patient_strict,strict,6,75
PPBP,0.84375,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
PVR,0.421875,0.015625,0.03,0,500,gene,B_patient_strict,strict,6,75
RGS5,0.78125,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
RUNX2,0.34375,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
S100A12,0.15625,0.03125,0.234,0,500,gene,B_patient_strict,strict,6,75
S100A8,0.28125,0.046875,0.082,0,500,gene,B_patient_strict,strict,6,75
S100A9,0.28125,0.015625,0.112,0,500,gene,B_patient_strict,strict,6,75
SELENOP,0.6875,0.03125,0.022,0,500,gene,B_patient_strict,strict,6,75
SELL,0.5,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
SEPP1,,Inf,,,0,gene,B_patient_strict,strict,6,75
SERPINE1,0.421875,0.03125,0.03,0,500,gene,B_patient_strict,strict,6,75
SERPINH1,0.421875,0.015625,0.028,0,500,gene,B_patient_strict,strict,6,75
SFRP2,0.875,0.4375,0,0,115,gene,B_patient_strict,strict,6,75
SFRP4,0.5,0.015625,0.022,0,500,gene,B_patient_strict,strict,6,75
SLC2A1,0.21875,0.015625,0.18,0,500,gene,B_patient_strict,strict,6,75
SNAI1,0.34375,0.046875,0.028,0,500,gene,B_patient_strict,strict,6,75
SNAI2,0.6875,0.3125,0,0,148,gene,B_patient_strict,strict,6,75
SP7,0.34375,0.0625,0,0,500,gene,B_patient_strict,strict,6,75
SPARC,0.421875,0.015625,0.006,0,500,gene,B_patient_strict,strict,6,75
SPP1,0.078125,0.03125,0.33,0,500,gene,B_patient_strict,strict,6,75
STAB1,0.578125,0.015625,0.07,0,500,gene,B_patient_strict,strict,6,75
TAGLN,0.421875,0.015625,0.084,0,500,gene,B_patient_strict,strict,6,75
TGFB1,0.34375,0.015625,0.096,0,500,gene,B_patient_strict,strict,6,75
TGFB2,0.578125,0.03125,0.004,0,500,gene,B_patient_strict,strict,6,75
TGFB3,0.15625,0.03125,0.176,0,500,gene,B_patient_strict,strict,6,75
TGFBR1,0.578125,0.015625,0.022,0,500,gene,B_patient_strict,strict,6,75
TGFBR2,0.421875,0.015625,0.04,0,500,gene,B_patient_strict,strict,6,75
TIGIT,0.578125,0.03125,0.002,0,500,gene,B_patient_strict,strict,6,75
TIMP1,0.28125,0.015625,0.116,0,500,gene,B_patient_strict,strict,6,75
TIMP2,0.65625,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
TIMP3,0.21875,0.03125,0.122,0,500,gene,B_patient_strict,strict,6,75
TNC,0.65625,0.15625,0,0,500,gene,B_patient_strict,strict,6,75
TNF,0.109375,0.015625,0.328,0,500,gene,B_patient_strict,strict,6,75
TWIST1,0.578125,0.03125,0.014,0,500,gene,B_patient_strict,strict,6,75
VCAM1,0.421875,0.046875,0.004,0,500,gene,B_patient_strict,strict,6,75
VCAN,0.421875,0.03125,0.066,0,500,gene,B_patient_strict,strict,6,75
VEGFA,0.578125,0.109375,0,0,500,gene,B_patient_strict,strict,6,75
VIM,0.71875,0.21875,0,0,500,gene,B_patient_strict,strict,6,75
VSIG4,0.28125,0.03125,0.058,0,500,gene,B_patient_strict,strict,6,75
VWF,0.78125,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
ZEB1,0.21875,0.015625,0.122,0,500,gene,B_patient_strict,strict,6,75
ZEB2,0.5,0.078125,0,0,500,gene,B_patient_strict,strict,6,75
ACTA2,0.4730224609375,0.0133056640625,0.012,0,500,gene,C_sample_broad,broad,14,96
ADAMTS1,0.425048828125,0.008056640625,0.016,0.004,500,gene,C_sample_broad,broad,14,96
ADM,0.3934326171875,0.0107421875,0.044,0,500,gene,C_sample_broad,broad,14,96
ANGPT1,0.0340576171875,0.000244140625,0.576,0.206,500,gene,C_sample_broad,broad,14,96
ASPN,0.68115234375,0.088134765625,0,0,500,gene,C_sample_broad,broad,14,96
BGLAP,0.36767578125,0.001220703125,0.048,0.008,500,gene,C_sample_broad,broad,14,96
BGN,0.326171875,0.0546875,0,0,500,gene,C_sample_broad,broad,14,96
BNIP3,0.6065673828125,0.0286865234375,0.002,0,500,gene,C_sample_broad,broad,14,96
C1QA,0.08740234375,0.0009765625,0.34,0.104,500,gene,C_sample_broad,broad,14,96
C1QB,0.00640869140625,0.0009765625,0.84,0.608,500,gene,C_sample_broad,broad,14,96
C1QC,0.026123046875,0.0009765625,0.648,0.292,500,gene,C_sample_broad,broad,14,96
CA9,0.1015625,0.005859375,0.206,0.018,500,gene,C_sample_broad,broad,14,96
CALR,0.6065673828125,0.0732421875,0,0,500,gene,C_sample_broad,broad,14,96
CCL2,0.36767578125,0.02392578125,0.028,0,500,gene,C_sample_broad,broad,14,96
CCL3,0.3955078125,0.008056640625,0.07,0.004,500,gene,C_sample_broad,broad,14,96
CCL4,0.3203125,0.00390625,0.076,0.028,500,gene,C_sample_broad,broad,14,96
CCN1,0.078125,0.0078125,0.362,0.034,500,gene,C_sample_broad,broad,14,96
CCN2,0.078125,0.015625,0.29,0,500,gene,C_sample_broad,broad,14,96
CD163,0.545166015625,0.031982421875,0.004,0,500,gene,C_sample_broad,broad,14,96
CD226,0.5269775390625,0.0401611328125,0.002,0,500,gene,C_sample_broad,broad,14,96
CD96,0.1527099609375,0.001220703125,0.2,0.042,500,gene,C_sample_broad,broad,14,96
CDH2,0.68115234375,0.07373046875,0,0,500,gene,C_sample_broad,broad,14,96
CDH5,0.0078125,0.00390625,1,0.642,500,gene,C_sample_broad,broad,14,96
COL11A1,0.53125,0.3125,0,0,500,gene,C_sample_broad,broad,14,96
COL1A1,0.41552734375,0.07373046875,0,0,500,gene,C_sample_broad,broad,14,96
COL1A2,0.8125,0.4228515625,0,0,500,gene,C_sample_broad,broad,14,96
COL3A1,0.53125,0.3125,0,0,495,gene,C_sample_broad,broad,14,96
COL4A1,0.65234375,0.3203125,0,0,500,gene,C_sample_broad,broad,14,96
