dataset,sample,n_cells_total,n_mono_dc,n_macrophage_like,n_monocyte_like,mac_score_p50,mac_score_p90,n_mac_markers_present,timepoint,uid_patient,mac_node_usable
GSE239721,PT16A,1499,2,0,2,0.0763098682860201,0.0910653708930594,10,Diagnosis,GSE239721:PT16A,FALSE
GSE239721,PT22A,1662,28,0,28,0,0,10,Diagnosis,GSE239721:PT22A,FALSE
GSE239721,PT26A,1178,39,0,39,0,0,10,Diagnosis,GSE239721:PT26A,FALSE
GSE239721,PT27A,5191,8,0,8,0.0307841134229297,0.13929073916207,10,Diagnosis,GSE239721:PT27A,FALSE
GSE239721,PT29A,2193,6,0,6,0.0722521783759598,0.121765218149004,10,Diagnosis,GSE239721:PT29A,FALSE
GSE239721,PT30A,612,259,0,254,0,0,10,Diagnosis,GSE239721:PT30A,FALSE
GSE289435,GSM8791433_MLL_16703,7930,0,0,0,,,10,Diagnosis,GSE289435:MLL_16703,FALSE
GSE289435,GSM8791435_MLL_17843,13429,4,0,3,0,0,10,Diagnosis,GSE289435:MLL_17843,FALSE
GSE289435,GSM8791437_MLL_28824,4590,17,0,15,0,0,10,Diagnosis,GSE289435:MLL_28824,FALSE
GSE289435,GSM8791441_MLL_29532,5260,4,0,4,0,0.138904455933975,10,Diagnosis,GSE289435:MLL_29532,FALSE
