dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
GSE185381,GSM5613765_2020-01-03-count-2,MIF,26,4.9367258484140955,0.49192186545038996,0.24055719350463983,0.15652779842025724,0.7594428064953602,0.33539406703013275,AML
GSE185381,GSM5613766_2020-03-18-AML0048-c1,CD99,5,0.5887738987512,0.393300796203665,0.393300796203665,0.0,0.6066992037963349,0.393300796203665,AML
GSE185381,GSM5613766_2020-03-18-AML0048-c1,MIF,31,3.2093360130811988,0.2853371744897662,0.1652351755878461,0.04886317255551539,0.834764824412154,0.23647400193425078,AML
GSE185381,GSM5613767_2020-03-18-AML0048-c2,CD99,7,0.7552169493655827,0.28870910336514566,0.28870910336514566,0.0,0.7112908966348542,0.28870910336514566,AML
GSE185381,GSM5613767_2020-03-18-AML0048-c2,MIF,31,3.1046836147679695,0.3536833522283914,0.2980713254940647,0.11680353762158993,0.7019286745059354,0.23687981460680152,AML
GSE185381,GSM5613768_2020-03-18-AML3266,CD99,8,0.5852266940416759,0.23238873153130418,0.23238873153130418,0.0,0.7676112684686958,0.23238873153130418,AML
GSE185381,GSM5613768_2020-03-18-AML3266,LGALS9,13,0.2301670771908253,0.41894803980982526,0.23733483437545938,0.09062358310168064,0.7626651656245407,0.3283244567081446,AML
GSE185381,GSM5613768_2020-03-18-AML3266,MIF,9,1.8963800721855009,0.5601589658975477,0.32151797490467626,0.21259543130193384,0.6784820250953238,0.34756353459561384,AML
GSE185381,GSM5613769_2020-03-18-count-1,CD99,19,0.2590709437125188,0.3949439925443197,0.3949439925443197,0.13695204099963035,0.4037644851506485,0.14936911113480061,AML
GSE185381,GSM5613769_2020-03-18-count-1,LGALS9,11,0.0640409577051259,1.0,0.16639445683381432,0.16639445683381432,0.7293607956841247,0.7293607956841247,AML
GSE185381,GSM5613769_2020-03-18-count-1,MIF,21,1.9741984282711014,0.21531975803974623,0.13554000661772297,0.04320242254731087,0.8644599933822771,0.17211733549243538,AML
GSE185381,GSM5613770_2020-03-18-count-2,CD99,14,0.15038906426346238,0.06700357619542521,0.06700357619542521,0.0,0.6694906217396287,0.06700357619542521,AML
GSE185381,GSM5613770_2020-03-18-count-2,LGALS9,12,0.018875037347406504,1.0,0.17940219877618832,0.17940219877618832,0.6955485983333592,0.6955485983333592,AML
GSE185381,GSM5613770_2020-03-18-count-2,MIF,16,1.889739694657755,0.2033026725546896,0.19784626342879072,0.05011769826583451,0.8021537365712093,0.15318497428885508,AML
GSE185381,GSM5613771_2020-03-18-count-3,CD99,27,0.5199219241502527,0.18345329554625714,0.1624810400714227,0.0,0.35135326287932594,0.06278321185241642,AML
GSE185381,GSM5613771_2020-03-18-count-3,LGALS9,24,0.18870946412386524,0.4212758300610099,0.1722458865830323,0.07248330563744984,0.7050513607734986,0.29719005898780665,AML
GSE185381,GSM5613771_2020-03-18-count-3,MIF,21,2.5351103262169463,0.20421383769966733,0.11043382873294398,0.034036609016529676,0.889566171267056,0.17017722868313764,AML
GSE185381,GSM5613774_2020-08-26-Control4003-c1,CD99,3,0.0342641562173912,0.0,0.0,0.0,1.0,0.0,healthy
GSE185381,GSM5613774_2020-08-26-Control4003-c1,LGALS9,7,0.2022839876535676,0.0,0.0,0.0,1.0,0.0,healthy
GSE185381,GSM5613774_2020-08-26-Control4003-c1,MIF,8,1.596223721372767,0.0,0.0,0.0,1.0,0.0,healthy
