sample_id,dataset,n_total,n_singler_TB,n_ref,frac_ref,val_lineage_pos,val_blast_drop,method,decision,fallback,fallback_mode
AML328-D113,GSE116256,1612,1449,1449,0.898883374689826,0.749,0,singleR,autologous_ok,FALSE,external
AML328-D171,GSE116256,938,815,814,0.867803837953092,0.665,1,singleR,autologous_ok,FALSE,external
AML328-D29,GSE116256,1229,251,251,0.204231082180635,0.673,0,singleR,autologous_ok,FALSE,external
AML329-D0,GSE116256,414,91,91,0.219806763285024,0.582,0,singleR,autologous_ok,FALSE,external
AML329-D20,GSE116256,594,112,112,0.188552188552189,0.661,0,singleR,autologous_ok,FALSE,external
AML371-D0,GSE116256,505,11,0,0,0.1,11,singleR,fallback_external,TRUE,external
AML419A-D0,GSE116256,891,25,0,0,0.88,25,singleR,fallback_external,TRUE,external
AML420B-D0,GSE116256,362,179,179,0.494475138121547,0.553,0,singleR,autologous_ok,FALSE,external
AML420B-D14,GSE116256,920,643,643,0.698913043478261,0.756,0,singleR,autologous_ok,FALSE,external
AML420B-D35,GSE116256,430,140,140,0.325581395348837,0.657,0,singleR,autologous_ok,FALSE,external
AML475-D0,GSE116256,308,30,0,0,0.533,30,singleR,fallback_external,TRUE,external
AML556-D0,GSE116256,1526,25,0,0,0.48,25,singleR,fallback_external,TRUE,external
AML556-D15,GSE116256,911,822,822,0.902305159165752,0.539,0,singleR,autologous_ok,FALSE,external
AML556-D31,GSE116256,1079,74,74,0.0685820203892493,0.662,0,singleR,autologous_ok,FALSE,external
AML707B-D0,GSE116256,1184,19,0,0,0.944,19,singleR,fallback_external,TRUE,external
AML707B-D113,GSE116256,565,345,344,0.608849557522124,0.703,1,singleR,autologous_ok,FALSE,external
AML707B-D18,GSE116256,1373,1255,1255,0.914056809905317,0.719,0,singleR,autologous_ok,FALSE,external
AML870-D0,GSE116256,307,9,0,0,0.444,9,singleR,fallback_external,TRUE,external
AML916-D0,GSE116256,644,13,0,0,0.769,13,singleR,fallback_external,TRUE,external
AML921A-D0,GSE116256,2879,210,210,0.0729419937478291,0.71,0,singleR,autologous_ok,FALSE,external
BM3,GSE116256,488,136,134,0.274590163934426,0.731,2,singleR,autologous_ok,FALSE,external
BM4,GSE116256,2944,853,848,0.28804347826087,0.71,5,singleR,autologous_ok,FALSE,external
BM5-34p,GSE116256,948,0,0,0,,0,singleR,fallback_external,TRUE,external
BM5-34p38n,GSE116256,1197,1,0,0,0,1,singleR,fallback_external,TRUE,external
007C1D1BL,GSE147989,2295,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
007SCRBL,GSE147989,1326,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
009C1D1BL,GSE147989,736,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
009SCRBL,GSE147989,1000,0,0,0,,0,sorted_guard,fallback_external,TRUE,external
AML001,GSE185381,358,143,143,0.399441340782123,0.972,0,singleR,autologous_ok,FALSE,external
AML0024,GSE185381,4718,7,0,0,1,7,singleR,fallback_external,TRUE,external
